Date,Location,ShortName,LongName,Census2019,Administered_Dose2,Series_Complete_18Plus,Series_Complete_Pop_Pct
2021-03-02,VA2,VA2,Veterans Health,0,830514,,
2021-03-02,VI,VIA,Virgin Islands,104680,6651,,
2021-03-02,VT,VTA,Vermont,623989,59544,,
2021-03-02,WA,WAA,Washington,7614893,639927,,
2021-03-02,WI,WIA,Wisconsin,5822434,522547,,
2021-03-02,WV,WVA,West Virginia,1792147,211589,,
2021-03-02,WY,WYA,Wyoming,578759,55332,,
2021-03-02,US,USA,United States,331996199,26162122,,
2021-03-02,LTC,LTC,Long Term Care,,,,
2021-03-03,AK,AKA,Alaska,731545,102472,,
2021-03-03,AL,ALA,Alabama,4903185,338967,,
2021-03-03,AR,ARA,Arkansas,3017804,242346,,
2021-03-03,AS,ASA,American Samoa,55689,8099,,
2021-03-03,AZ,AZA,Arizona,7278717,613681,,
2021-03-03,BP2,BP2,Bureau of Prisons,0,24513,,
2021-03-03,CA,CAA,California,39512223,2997721,,
2021-03-03,CO,COA,Colorado,5758736,499066,,
2021-03-03,CT,CTA,Connecticut,3565287,310667,,
2021-03-03,DC,DCA,District of Columbia,705749,70091,,
2021-03-03,DD2,DD2,Dept of Defense,0,312894,,
2021-03-03,DE,DEA,Delaware,973764,83782,,
2021-03-03,FL,FLA,Florida,21477737,1833883,,
2021-03-03,FM,FMA,Federated States of Micronesia,103643,5317,,
2021-03-03,GA,GAA,Georgia,10617423,780276,,
2021-03-03,GU,GUA,Guam,165768,20385,,
2021-03-03,HI,HIA,Hawaii,1415872,147043,,
2021-03-03,IA,IAA,Iowa,3155070,193643,,
2021-03-03,ID,IDA,Idaho,1787065,138642,,
2021-03-03,IH2,IH2,Indian Health Svc,2082813,184195,,
2021-03-03,IL,ILA,Illinois,12671821,884810,,
2021-03-03,IN,INA,Indiana,6732219,604449,,
2021-03-03,KS,KSA,Kansas,2913314,210351,,
2021-03-03,KY,KYA,Kentucky,4467673,362062,,
2021-03-03,LA,LAA,Louisiana,4648794,395300,,
2021-03-03,MA,MAA,Massachusetts,6892503,562289,,
2021-03-03,MD,MDA,Maryland,6045680,516955,,
2021-03-03,ME,MEA,Maine,1344212,106463,,
2021-03-03,MH,MHA,Marshall Islands,58413,2459,,
2021-03-03,MI,MIA,Michigan,9986857,866351,,
2021-03-03,MN,MNA,Minnesota,5639632,486432,,
2021-03-03,MO,MOA,Missouri,6137428,477486,,
2021-03-03,MP,MPA,Northern Mariana Islands,56882,7954,,
2021-03-03,MS,MSA,Mississippi,2976149,228512,,
2021-03-03,MT,MTA,Montana,1068778,96839,,
2021-03-03,NC,NCA,North Carolina,10488084,916706,,
2021-03-03,ND,NDA,North Dakota,762062,83505,,
2021-03-03,NE,NEA,Nebraska,1934408,170153,,
2021-03-03,NH,NHA,New Hampshire,1359711,99785,,
2021-03-03,NJ,NJA,New Jersey,8882190,745182,,
2021-03-03,NM,NMA,New Mexico,2096829,255621,,
2021-03-03,NV,NVA,Nevada,3080156,249472,,
2021-03-03,NY,NYA,New York State,19453561,1556522,,
2021-03-03,OH,OHA,Ohio,11689100,978945,,
2021-03-03,OK,OKA,Oklahoma,3956971,413355,,
2021-03-03,OR,ORA,Oregon,4217737,377528,,
2021-03-03,PA,PAA,Pennsylvania,12801989,911602,,
2021-03-03,PR,PRA,Puerto Rico,3193694,202776,,
2021-03-03,RI,RIA,Rhode Island,1059361,81944,,
2021-03-03,RP,RPA,Republic of Palau,17907,3099,,
2021-03-03,SC,SCA,South Carolina,5148714,368642,,
2021-03-03,SD,SDA,South Dakota,884659,97606,,
2021-03-03,TN,TNA,Tennessee,6829174,495032,,
2021-03-03,TX,TXA,Texas,28995881,2182085,,
2021-03-03,UT,UTA,Utah,3205958,196395,,
2021-03-03,VA,VAA,Virginia,8535519,769180,,
2021-03-03,VA2,VA2,Veterans Health,0,853672,,
2021-03-03,VI,VIA,Virgin Islands,104680,6849,,
